"Rk.","Team","Season","Pitches_empty","Tempo_empty","TimerEquiv._empty","Fast %_empty","Slow %_empty","Pitches_onBase","Tempo_onBase","TimerEquiv._onBase","Fast %_onBase","Slow %_onBase"
"1"," White Sox"," 2010"," 6905"," 14.0"," 8.0"," 57.5%"," 1.4%"," 4143"," 20.9"," 14.9"," 6.2%"," 9.1%"," 
                Compare
            "
"2"," Athletics"," 2010"," 7262"," 14.2"," 8.2"," 56.4%"," 2.0%"," 4088"," 19.9"," 13.9"," 6.6%"," 8.2%"," 
                Compare
            "
"3"," White Sox"," 2011"," 6628"," 14.5"," 8.5"," 54.8%"," 1.0%"," 3848"," 21.0"," 15.0"," 5.2%"," 8.5%"," 
                Compare
            "
"4"," Mariners"," 2010"," 6718"," 14.6"," 8.6"," 54.1%"," 1.4%"," 3843"," 20.0"," 14.0"," 5.5%"," 10.2%"," 
                Compare
            "
"5"," Guardians"," 2012"," 6863"," 14.7"," 8.7"," 53.0%"," 1.3%"," 4482"," 20.7"," 14.7"," 5.2%"," 9.7%"," 
                Compare
            "
"6"," D-backs"," 2011"," 6481"," 14.7"," 8.7"," 53.7%"," 1.1%"," 4004"," 22.2"," 16.2"," 1.7%"," 10.9%"," 
                Compare
            "
"7"," Orioles"," 2011"," 6721"," 14.8"," 8.8"," 52.4%"," 1.0%"," 4397"," 21.0"," 15.0"," 3.9%"," 8.1%"," 
                Compare
            "
"8"," Twins"," 2011"," 6247"," 14.8"," 8.8"," 52.2%"," 1.4%"," 4050"," 21.5"," 15.5"," 3.6%"," 12.2%"," 
                Compare
            "
"9"," Marlins"," 2012"," 6550"," 14.9"," 8.9"," 50.9%"," 1.3%"," 4195"," 22.5"," 16.5"," 2.5%"," 11.8%"," 
                Compare
            "
"10"," Mets"," 2012"," 6607"," 14.9"," 8.9"," 50.7%"," 1.3%"," 4069"," 21.2"," 15.2"," 6.1%"," 9.2%"," 
                Compare
            "
"11"," White Sox"," 2012"," 7172"," 14.9"," 8.9"," 50.7%"," 1.1%"," 3824"," 21.8"," 15.8"," 2.6%"," 9.5%"," 
                Compare
            "
"12"," Padres"," 2011"," 6759"," 14.9"," 8.9"," 50.5%"," 1.2%"," 3929"," 21.3"," 15.3"," 3.1%"," 11.9%"," 
                Compare
            "
